model,metric,estimate,ci_low,ci_high,threshold,n,n_boot
broken_random_split,pr_auc,0.24923012397985092,0.22051838391054818,0.2938402618443908,0.15245283018867925,2466,500
broken_random_split,recall,0.5575916230366492,0.5063197809142617,0.6067686680524464,0.15245283018867925,2466,500
broken_random_split,balanced_accuracy,0.6067708595029695,0.5801244220751371,0.6348168780799116,0.15245283018867925,2466,500
broken_random_split,ece,0.005339122304914538,0.0035553539951851862,0.02230027027421162,0.15245283018867925,2466,500
broken_random_split,brier,0.12565176389205115,0.11719714582401053,0.1344172536371039,0.15245283018867925,2466,500
broken_temporal_deployment,pr_auc,0.2544089725592237,0.23732068003346407,0.2747931193020376,0.1230188679245283,5274,500
broken_temporal_deployment,recall,0.5664527956003667,0.5403440143744853,0.5968260524872931,0.1230188679245283,5274,500
broken_temporal_deployment,balanced_accuracy,0.5644838685149813,0.5507673740387838,0.5816518424151663,0.1230188679245283,5274,500
broken_temporal_deployment,ece,0.07551052259430271,0.06552479986360549,0.085637350911238,0.1230188679245283,5274,500
broken_temporal_deployment,brier,0.16790270236960209,0.1608818323057147,0.17482320990478106,0.1230188679245283,5274,500
corrected_invariant_temporal_validation,pr_auc,0.6515760821741068,0.6219878207366929,0.6790744138266398,0.14264150943396225,5274,500
corrected_invariant_temporal_validation,recall,0.8029330889092575,0.7806355114419631,0.8245135759064546,0.14264150943396225,5274,500
corrected_invariant_temporal_validation,balanced_accuracy,0.7453584880357906,0.7326165492539721,0.7584390887730694,0.14264150943396225,5274,500
corrected_invariant_temporal_validation,ece,0.06842363446112816,0.061307502703343446,0.07834805132206134,0.14264150943396225,5274,500
corrected_invariant_temporal_validation,brier,0.11683201199613145,0.10985952429361494,0.12351398301507546,0.14264150943396225,5274,500
