model,metric,estimate,ci_low,ci_high,threshold,n,n_boot
broken_random_split,pr_auc,0.24923012397985092,0.22051838391054818,0.2938402618443908,0.15245283018867925,2466,500
broken_random_split,recall,0.5575916230366492,0.5063197809142617,0.6067686680524464,0.15245283018867925,2466,500
broken_random_split,balanced_accuracy,0.6067708595029695,0.5801244220751371,0.6348168780799116,0.15245283018867925,2466,500
broken_random_split,ece,0.005339122304914538,0.0035553539951851867,0.022300270274211626,0.15245283018867925,2466,500
broken_random_split,brier,0.12565176389205115,0.11719714582401053,0.1344172536371039,0.15245283018867925,2466,500
broken_temporal_deployment,pr_auc,0.2544089725592237,0.23732068003346407,0.2747931193020376,0.1230188679245283,5274,500
broken_temporal_deployment,recall,0.5664527956003667,0.5403440143744853,0.5968260524872931,0.1230188679245283,5274,500
broken_temporal_deployment,balanced_accuracy,0.5644838685149813,0.5507673740387838,0.5816518424151663,0.1230188679245283,5274,500
broken_temporal_deployment,ece,0.07551052259430271,0.06552479986360549,0.085637350911238,0.1230188679245283,5274,500
broken_temporal_deployment,brier,0.16790270236960209,0.1608818323057147,0.17482320990478106,0.1230188679245283,5274,500
